Iteration,Altitude (km),Total Mass (kg),Delta-V (m/s),Stage 1 Dry Mass (kg),Stage 1 Propellant Mass (kg)
0,0.0,5200.0,14382.867167095834,750.0,4250.0
1,0.0,11892.823143742251,18034.87925616864,6592.823143742251,5100.0
2,0.0,13272.399593504331,18519.377426972915,6952.399593504332,6120.0
3,0.0,14568.693521791485,18930.75711852942,7024.693521791485,7344.0
4,0.0,10606.004718563876,17529.353683019097,1593.2047185638776,8812.8
5,0.0,12151.406915189586,18129.834434054803,1376.0469151895873,10575.359999999999
6,0.0,14346.123504207373,18862.795094236728,1455.691504207375,12690.431999999999
7,0.0,16280.393623695443,19421.14887677444,851.8752236954443,15228.518399999999
8,0.0,19425.0656235238,20200.761654443024,950.8435435238003,18274.22208
9,0.0,23243.14360756573,20992.925647943266,1114.0771115657315,21929.066496
10,0.0,27733.82888840407,21772.715013205492,1218.9490932040724,26314.8797952
11,0.0,33229.82849588307,22570.834512711033,1451.9727416430705,31577.855754239998
12,0.0,39830.81559746341,23370.710802481943,1737.38869237541,37893.426905087996
13,0.0,47742.76334399366,24170.559173944297,2070.651057888069,45472.11228610559
14,0.0,57248.06101910441,24972.083476226708,2481.526275777705,54566.53474332671
15,0.0,68655.01008971814,25774.199611871307,2975.1683977260877,65479.84169199205
